residual_id	locus_coord	chrom	start	end	strand	n_junctions	n_exons	length_nt	exon_structure	intron_structure	nearest_gene_name	nearest_distance_bp	control_max	control_n_detected	cohort	treat_sum	treat_n_detected	n_shared_site	status
RSDL.136	chr17:48749979-48753970:-	chr17	48749979	48753970	-	1	2	1817	48749979-48751724,48753900-48753970	48751725-48753899	Tspo2	1035.0	6	3	shared	3	2	0	unassembled
RSDL.137	chr17:85964072-85970357:-	chr17	85964072	85970357	-	1	2	2246	85964072-85965865,85969906-85970357	85965866-85969905	Gm64861	12552.0	0	0	silent	3	2	0	unassembled
RSDL.138	chr19:4116587-4119245:-	chr19	4116587	4119245	-	1	2	1298	4116587-4117674,4119036-4119245	4117675-4119035	Gm59199	1565.0	1	1	shared	3	2	0	unassembled
RSDL.139	chr2:152933770-152934332:-	chr2	152933770	152934332	-	1	2	189	152933770-152933919,152934294-152934332	152933920-152934293	Gm74550	7800.0	0	0	silent	3	2	0	unassembled
RSDL.140	chr3:66311865-66313491:+	chr3	66311865	66313491	+	1	2	495	66311865-66312172,66313305-66313491	66312173-66313304	Gm35236	308.0	0	0	silent	3	2	0	unassembled
RSDL.141	chr3:100437892-100438757:+	chr3	100437892	100438757	+	1	2	790	100437892-100438115,100438192-100438757	100438116-100438191	Gm12474	6879.0	1	1	shared	3	2	0	unassembled
RSDL.142	chr4:53935663-53937085:+	chr4	53935663	53937085	+	1	2	404	53935663-53935905,53936925-53937085	53935906-53936924	Gm70377	18129.0	1	1	shared	3	2	0	unassembled
RSDL.143	chr4:64603271-64611994:+	chr4	64603271	64611994	+	1	2	189	64603271-64603346,64611882-64611994	64603347-64611881	Gm23950	240251.0	3	1	shared	3	2	0	unassembled
RSDL.144	chr4:149787474-149793672:+	chr4	149787474	149793672	+	1	2	500	149787474-149787643,149793343-149793672	149787644-149793342	Gm13068	39604.0	1	1	shared	3	2	0	unassembled
RSDL.145	chr5:115278518-115281038:-	chr5	115278518	115281038	-	1	2	1642	115278518-115279418,115280298-115281038	115279419-115280297	Mlec	741.0	2	1	shared	3	2	0	unassembled
RSDL.146	chr6:81405551-81422846:-	chr6	81405551	81422846	-	1	2	622	81405551-81406086,81422761-81422846	81406087-81422760	Gm43901	7847.0	0	0	silent	3	2	0	unassembled
RSDL.147	chr6:91624822-91627051:+	chr6	91624822	91627051	+	1	2	328	91624822-91625047,91626950-91627051	91625048-91626949	Slc6a6	33623.0	0	0	silent	3	2	0	unassembled
RSDL.148	chr6:143611084-143615118:+	chr6	143611084	143615118	+	1	2	560	143611084-143611207,143614683-143615118	143611208-143614682	Gm31521	15481.0	1	1	shared	3	2	0	unassembled
RSDL.149	chr7:57860862-58029732:-	chr7	57860862	58029732	-	1	2	456	57860862-57861034,58029450-58029732	57861035-58029449	Gm26288	63059.0	1	1	shared	3	2	0	unassembled
RSDL.150	chr7:141376282-141377381:-	chr7	141376282	141377381	-	1	2	341	141376282-141376505,141377265-141377381	141376506-141377264	Tollip	51285.0	0	0	silent	3	2	0	unassembled
RSDL.151	chr8:122194578-122195251:+	chr8	122194578	122195251	+	1	2	458	122194578-122194758,122194975-122195251	122194759-122194974	Gm63857	15077.0	0	0	silent	3	2	0	unassembled
RSDL.152	chrX:72503470-72505030:-	chrX	72503470	72505030	-	1	2	387	72503470-72503669,72504844-72505030	72503670-72504843	Haus7	1015.0	1	1	shared	3	2	0	unassembled
RSDL.153	GL456233.2:200423-201382:-	GL456233.2	200423	201382	-	1	2	265	200423-200564,201260-201382	200565-201259			1	2	shared	2	2	0	unassembled
RSDL.154	chr1:90815666-90819545:-	chr1	90815666	90819545	-	1	2	397	90815666-90815836,90819320-90819545	90815837-90819319	Gm70611	2938.0	1	1	shared	2	2	0	unassembled
RSDL.155	chr1:178318442-178319820:-	chr1	178318442	178319820	-	1	2	498	178318442-178318793,178319675-178319820	178318794-178319674	Gm70915	21339.0	0	0	silent	2	2	0	unassembled
RSDL.156	chr10:104763259-104763900:+	chr10	104763259	104763900	+	1	2	244	104763259-104763295,104763694-104763900	104763296-104763693	Gm25587	112440.0	0	0	silent	2	2	0	unassembled
RSDL.157	chr10:108134177-108134820:+	chr10	108134177	108134820	+	1	2	539	108134177-108134597,108134703-108134820	108134598-108134702	Ppp1r12a	14261.0	0	0	silent	2	2	0	unassembled
RSDL.158	chr11:100068640-100071621:+	chr11	100068640	100071621	+	1	2	835	100068640-100069347,100071495-100071621	100069348-100071494	Gm39022	1208.0	0	0	silent	2	2	0	unassembled
RSDL.159	chr11:102795680-102796318:+	chr11	102795680	102796318	+	1	2	495	102795680-102796109,102796254-102796318	102796110-102796253	Fam187a	18552.0	0	0	silent	2	2	0	unassembled
RSDL.160	chr11:113660888-113662125:+	chr11	113660888	113662125	+	1	2	252	113660888-113660996,113661983-113662125	113660997-113661982	Gm11736	12964.0	2	1	shared	2	2	0	unassembled
RSDL.161	chr12:54769480-54774542:-	chr12	54769480	54774542	-	1	2	1059	54769480-54770349,54774354-54774542	54770350-54774353	Gm2412	4140.0	0	0	silent	2	2	0	unassembled
RSDL.162	chr12:96743830-96755746:-	chr12	96743830	96755746	-	1	2	249	96743830-96744020,96755689-96755746	96744021-96755688	Gm6863	133508.0	0	0	silent	2	2	0	unassembled
RSDL.163	chr13:32620889-32629800:+	chr13	32620889	32629800	+	1	2	677	32620889-32621270,32629506-32629800	32621271-32629505	Gm40876	4842.0	0	0	silent	2	2	0	unassembled
RSDL.164	chr13:68603229-68605059:+	chr13	68603229	68605059	+	1	2	363	68603229-68603457,68604926-68605059	68603458-68604925	Fastkd3	125404.0	0	0	silent	2	2	0	unassembled
RSDL.165	chr14:22021539-22022645:-	chr14	22021539	22022645	-	1	2	456	22021539-22021604,22022256-22022645	22021605-22022255	Zfp503	11727.0	0	0	silent	2	2	0	unassembled
RSDL.166	chr14:60499810-60501215:+	chr14	60499810	60501215	+	1	2	161	60499810-60499874,60501120-60501215	60499875-60501119	Mtmr6	1438.0	0	0	silent	2	2	0	unassembled
RSDL.167	chr15:51276007-51276748:+	chr15	51276007	51276748	+	1	2	224	51276007-51276037,51276556-51276748	51276038-51276555	Gm62944	256741.0	0	0	silent	2	2	0	unassembled
RSDL.168	chr15:51453524-51454200:-	chr15	51453524	51454200	-	1	2	98	51453524-51453576,51454156-51454200	51453577-51454155	Gm34562	11012.0	1	1	shared	2	2	0	unassembled
RSDL.169	chr15:53985568-53989492:-	chr15	53985568	53989492	-	1	2	856	53985568-53986088,53989158-53989492	53986089-53989157	Gm63077	50759.0	2	2	shared	2	2	0	unassembled
RSDL.170	chr15:101482715-101484239:+	chr15	101482715	101484239	+	1	2	680	101482715-101482810,101483656-101484239	101482811-101483655	Gm62151	699.0	0	0	silent	2	2	0	unassembled
RSDL.171	chr16:14822386-14866775:-	chr16	14822386	14866775	-	1	2	547	14822386-14822885,14866729-14866775	14822886-14866728	Gm33696	12408.0	0	0	silent	2	2	0	unassembled
RSDL.172	chr17:34285665-34288792:+	chr17	34285665	34288792	+	1	2	3002	34285665-34286665,34286792-34288792	34286666-34286791	Col11a2	1001.0	0	0	silent	2	2	0	unassembled
RSDL.173	chr17:45550249-45551758:-	chr17	45550249	45551758	-	1	2	494	45550249-45550644,45551661-45551758	45550645-45551660	Gm41582	11229.0	1	1	shared	2	2	0	unassembled
RSDL.174	chr17:47169486-47177732:-	chr17	47169486	47177732	-	1	2	408	47169486-47169624,47177464-47177732	47169625-47177463	Bicral	216.0	0	0	silent	2	2	0	unassembled
RSDL.175	chr17:86164119-86165678:-	chr17	86164119	86165678	-	1	2	766	86164119-86164647,86165442-86165678	86164648-86165441	Gm30117	3351.0	0	0	silent	2	2	0	unassembled
RSDL.176	chr18:5856990-5857761:+	chr18	5856990	5857761	+	1	2	165	5856990-5857062,5857670-5857761	5857063-5857669	Gm58432	33225.0	0	0	silent	2	2	0	unassembled
RSDL.177	chr18:70503773-70522732:-	chr18	70503773	70522732	-	1	2	287	70503773-70503870,70522544-70522732	70503871-70522543	ENSMUSG00000127325	23486.0	0	0	silent	2	2	0	unassembled
RSDL.178	chr18:76367838-76368317:-	chr18	76367838	76368317	-	1	2	395	76367838-76368069,76368155-76368317	76368070-76368154	BC026513	6140.0	0	0	silent	2	2	0	unassembled
RSDL.179	chr19:58132493-58135946:+	chr19	58132493	58135946	+	1	2	896	58132493-58132683,58135242-58135946	58132684-58135241	Atrnl1	10908.0	1	2	shared	2	2	0	unassembled
RSDL.180	chr2:34995391-34999093:-	chr2	34995391	34999093	-	1	2	899	34995391-34996088,34998893-34999093	34996089-34998892	AI182371	4533.0	2	3	shared	2	2	0	unassembled
RSDL.181	chr2:90910384-90912561:-	chr2	90910384	90912561	-	1	2	1174	90910384-90911338,90912343-90912561	90911339-90912342	Gm74878	551.0	0	0	silent	2	2	0	unassembled
RSDL.182	chr2:118389665-118412687:+	chr2	118389665	118412687	+	1	2	118	118389665-118389711,118412617-118412687	118389712-118412616	2700079J08Rik	902.0	0	0	silent	2	2	0	unassembled
RSDL.183	chr2:126718555-126724349:+	chr2	126718555	126724349	+	1	2	798	126718555-126718902,126723900-126724349	126718903-126723899	Gm14212	11654.0	0	0	silent	2	2	0	unassembled
RSDL.184	chr2:143705094-143707815:+	chr2	143705094	143707815	+	1	2	1712	143705094-143705334,143706345-143707815	143705335-143706344	Rps13-ps6	7338.0	1	1	shared	2	2	0	unassembled
RSDL.185	chr2:151984129-151984635:+	chr2	151984129	151984635	+	1	2	404	151984129-151984442,151984546-151984635	151984443-151984545	Tcf15	928.0	0	0	silent	2	2	0	unassembled
RSDL.186	chr2:160195990-160197571:-	chr2	160195990	160197571	-	1	2	332	160195990-160196090,160197341-160197571	160196091-160197340	Gm57434	6998.0	1	1	shared	2	2	0	unassembled
RSDL.187	chr2:171676718-171682069:-	chr2	171676718	171682069	-	1	2	258	171676718-171676848,171681943-171682069	171676849-171681942	Gm74703	542.0	0	0	silent	2	2	0	unassembled
RSDL.188	chr2:173949601-173950415:+	chr2	173949601	173950415	+	1	2	285	173949601-173949815,173950346-173950415	173949816-173950345	Npepl1	1398.0	0	0	silent	2	2	0	unassembled
RSDL.189	chr3:30895776-30901268:-	chr3	30895776	30901268	-	1	2	373	30895776-30895896,30901017-30901268	30895897-30901016	Gm42199	7267.0	3	2	shared	2	2	0	unassembled
RSDL.190	chr3:35085944-35087396:+	chr3	35085944	35087396	+	1	2	246	35085944-35086120,35087328-35087396	35086121-35087327	Gm66173	45420.0	0	0	silent	2	2	0	unassembled
RSDL.191	chr3:54227833-54266471:-	chr3	54227833	54266471	-	1	2	449	54227833-54228019,54266210-54266471	54228020-54266209	Gm31095	448.0	1	2	shared	2	2	0	unassembled
RSDL.192	chr3:66292637-66294863:+	chr3	66292637	66294863	+	1	2	193	66292637-66292780,66294815-66294863	66292781-66294814	Gm35236	13795.0	0	0	silent	2	2	0	unassembled
RSDL.193	chr4:54010184-54012186:-	chr4	54010184	54012186	-	1	2	860	54010184-54010873,54012017-54012186	54010874-54012016	Gm68170	9550.0	3	2	shared	2	2	0	unassembled
RSDL.194	chr4:135012989-135013643:+	chr4	135012989	135013643	+	1	2	345	135012989-135013244,135013555-135013643	135013245-135013554	Gm12984	7788.0	0	0	silent	2	2	0	unassembled
RSDL.195	chr5:8073330-8074968:+	chr5	8073330	8074968	+	1	2	266	8073330-8073453,8074827-8074968	8073454-8074826	Sri	21251.0	1	2	shared	2	2	0	unassembled
RSDL.196	chr5:35362023-35365061:+	chr5	35362023	35365061	+	1	2	413	35362023-35362177,35364804-35365061	35362178-35364803	Gm40281	22317.0	0	0	silent	2	2	0	unassembled
RSDL.197	chr5:65879592-65881016:-	chr5	65879592	65881016	-	1	2	744	65879592-65879933,65880615-65881016	65879934-65880614	Pds5a	15853.0	3	2	shared	2	2	0	unassembled
RSDL.198	chr5:101379803-101382194:-	chr5	101379803	101382194	-	1	2	515	101379803-101380092,101381970-101382194	101380093-101381969	Gm36851	4164.0	0	0	silent	2	2	0	unassembled
RSDL.199	chr5:103541720-103549002:+	chr5	103541720	103549002	+	1	2	903	103541720-103541781,103548162-103549002	103541782-103548161	Gm73323	14346.0	0	0	silent	2	2	0	unassembled
RSDL.200	chr6:39272846-39274836:-	chr6	39272846	39274836	-	1	2	632	39272846-39273022,39274382-39274836	39273023-39274381	Gm53067	8115.0	0	0	silent	2	2	0	unassembled
RSDL.201	chr6:41174289-41178931:-	chr6	41174289	41178931	-	1	2	287	41174289-41174324,41178681-41178931	41174325-41178680	Gm67876	75545.0	0	0	silent	2	2	0	unassembled
RSDL.202	chr6:125226014-125230136:-	chr6	125226014	125230136	-	1	2	3000	125226014-125227268,125228392-125230136	125227269-125228391	Gm53066	1745.0	2	1	shared	2	2	0	unassembled
RSDL.203	chr7:71968789-71969252:+	chr7	71968789	71969252	+	1	2	170	71968789-71968839,71969134-71969252	71968840-71969133	Gm73926	7092.0	1	1	shared	2	2	0	unassembled
RSDL.204	chr7:116218177-116219876:+	chr7	116218177	116219876	+	1	2	1192	116218177-116218359,116218868-116219876	116218360-116218867	Gm46018	38194.0	2	1	shared	2	2	0	unassembled
RSDL.205	chr8:42870700-42874135:+	chr8	42870700	42874135	+	1	2	161	42870700-42870736,42874012-42874135	42870737-42874011	Gm6180	170291.0	0	0	silent	2	2	0	unassembled
RSDL.206	chr8:70454587-70463198:+	chr8	70454587	70463198	+	1	2	159	70454587-70454655,70463109-70463198	70454656-70463108	Gm64079	4602.0	2	4	shared	2	2	0	unassembled
RSDL.207	chr8:123004110-123004935:-	chr8	123004110	123004935	-	1	2	361	123004110-123004415,123004881-123004935	123004416-123004880	Gm63990	45241.0	2	2	shared	2	2	0	unassembled
RSDL.208	chr8:123159707-123160335:+	chr8	123159707	123160335	+	1	2	255	123159707-123159858,123160233-123160335	123159859-123160232	Gm51557	3391.0	0	0	silent	2	2	0	unassembled
RSDL.209	chr9:16474415-16485383:+	chr9	16474415	16485383	+	1	2	239	16474415-16474539,16485270-16485383	16474540-16485269	1700037J18Rik	25374.0	1	1	shared	2	2	0	unassembled
RSDL.210	chr9:96261577-96269214:-	chr9	96261577	96269214	-	1	2	275	96261577-96261720,96269084-96269214	96261721-96269083	Gm68800	3661.0	0	0	silent	2	2	0	unassembled
RSDL.211	chr9:104215203-104215805:-	chr9	104215203	104215805	-	1	2	338	104215203-104215450,104215716-104215805	104215451-104215715	Acp3	503.0	0	0	silent	2	2	0	unassembled
RSDL.212	chrX:93828548-93830640:-	chrX	93828548	93830640	-	1	2	1438	93828548-93828932,93829588-93830640	93828933-93829587	Zxda	9581.0	0	0	silent	2	2	0	unassembled
RSDL.213	chrX:98528557-98531023:-	chrX	98528557	98531023	-	1	2	283	98528557-98528682,98530867-98531023	98528683-98530866	Pja1	13803.0	1	1	shared	2	2	0	unassembled
RSDL.214	chrX:169089107-169090871:+	chrX	169089107	169090871	+	1	2	1457	169089107-169090522,169090831-169090871	169090523-169090830	Akap17a	6801.0	0	0	silent	2	2	0	unassembled
